Codigo,Descrição,Data,Quantidade,Valor,Setor
31_000027848,INSERTO SCMT 09T304-MK MC5015,2025-01-04 10:44:59,2.0,25.06,148
31_000012246,INSERTO GRIP 5025Y IC908  ISCAR,2025-01-04 10:52:44,5.0,267.3,133
31_000025402,INSERTO TNMG 160408 MP MC6015,2025-01-04 10:52:44,1.0,14.47,133
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-04 10:52:44,1.0,36.2,133
31_000023009,INSERTO VBMT 160404-UE 6110,2025-01-04 10:52:44,4.0,92.64,133
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-04 10:52:44,1.0,14.5,133
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-04 11:14:17,2.0,40.8,157
31_000018867,INSERTO SOMX 070305-DT IC808,2025-01-04 11:14:17,4.0,186.52,157
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-04 11:14:17,5.0,181.0,157
31_000028728,INSERTO WNMA 080412 AC4015K SUMITOMO,2025-01-04 13:14:05,3.0,62.97,148
31_000025638,INSERTO WNMG 080416 - RK MC5015,2025-01-04 13:14:05,4.0,82.88,148
31_000025636,INSERTO SOMX 084005-UM MC5020,2025-01-04 13:14:05,4.0,63.24,148
31_000027764,INSERTO GIMIY 304  IC808,2025-01-04 13:14:05,2.0,80.64,148
31_000027193,INSERTO CCMT 060202 PF IC907,2025-01-04 13:33:14,2.0,45.78,173
31_000015192,PARAFUSO TS25   ( MITSUBISHI ),2025-01-04 13:33:14,2.0,30.4,173
31_000013245,INSERTO TNMG 160408 SA UE6105,2025-01-04 14:18:27,3.0,43.38,133
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-04 14:18:27,8.0,116.0,133
31_000028554,INSERTO CCGW 060208 NU BN2000,2025-01-04 14:21:22,1.0,105.16,139
31_000026158,INSERTO CCMT 060204 WP PV720,2025-01-04 14:35:50,3.0,48.87,129
31_000028555,INSERTO TNMG 160412 UR YG3020 (YG1),2025-01-04 14:35:50,5.0,140.4,129
31_000001959,INSERTO TNGA 160408-HTI 05T,2025-01-04 14:54:39,6.0,111.0,474
31_000004381,INSERTO VCMW 160408 HTI10,2025-01-04 14:54:39,10.0,158.6,474
31_000005475,BRUNIDOR SINT. BORAZON MSØ1Ø,2025-01-04 15:29:33,4.0,140.44,132
31_000023761,GAIOLA DE ROLETES P/PÇ 2H23920/2H65920,2025-01-04 15:39:18,1.0,2032.21,139
31_000022920,INSERTO CCMT 09T308 MM MC7025,2025-01-04 15:45:09,8.0,96.4,172
31_000005305,INSERTO VCMT 160408-SM IC907 - ISCAR,2025-01-04 15:45:09,6.0,215.28,172
31_000024583,"BROCA CALIB MD D4,1xD4,20x62 88424001-T5",2025-01-04 18:21:35,1.0,136.94,126
31_000000309,"BROCA CENTRO AR 4,0X10,0 D-333A TWILL",2025-01-04 18:50:13,1.0,53.96,471
31_000020767,INSERTO TGMF 304 IC808 - ISCAR,2025-01-04 18:58:04,2.0,88.42,157
31_000006112,INSERTO PENTA 24N247 JO20 IC908,2025-01-04 18:58:04,3.0,404.82,157
31_000019498,INSERTO SOMX 060304-DT IC908,2025-01-04 18:58:04,2.0,85.1,157
31_000023083,INSERTO TCMT 110208-LM MC7025,2025-01-04 19:05:30,2.0,23.94,159
31_000025460,"BROCA MD Ø 12,5X45XD12X90L FUT TOP",2025-01-04 19:07:26,2.0,450.3,129
31_000012717,INSERTO TCMT 110204-SM IC908,2025-01-04 19:12:50,1.0,20.4,126
31_000023054,INSERTO CCMT 09T304-MM MC7025,2025-01-04 19:12:50,2.0,23.92,126
31_000027591,INSERTO TNMG 160412 RS MP9015,2025-01-04 19:44:57,6.0,88.56,173
31_000005305,INSERTO VCMT 160408-SM IC907 - ISCAR,2025-01-04 19:44:57,4.0,143.52,173
31_000021024,INSERTO TNGX 110308S-01020-WZ CBN010,2025-01-04 20:23:25,1.0,567.02,161
31_000008767,INSERTO WNMG 06T308 MP MC6015,2025-01-04 20:49:45,2.0,21.6,133
31_000022901,INSERTO TNMG 160412-SA UE6105,2025-01-04 20:49:45,7.0,101.5,133
31_000006000,INSERTO DNMG 150604-LP MC6015,2025-01-04 20:49:45,1.0,28.54,133
31_000023789,INSERTO GY2M0400G080N-MM VP20RT,2025-01-04 20:49:45,3.0,108.6,133
